"","krok","proc_chorych"
"1",0,0.27
"2",1,0.23
"3",2,0.21
"4",3,0.21
"5",4,0.16
"6",5,0.12
"7",6,0.11
"8",7,0.1
"9",8,0.1
"10",9,0.07
"11",10,0.06
"12",11,0.06
"13",12,0.06
"14",13,0.04
"15",14,0.04
"16",15,0.04
"17",16,0.04
"18",17,0.04
"19",18,0.04
"20",19,0.04
"21",20,0.04
"22",21,0.04
"23",22,0.04
"24",23,0.03
"25",24,0.03
"26",25,0.04
"27",26,0.04
"28",27,0.03
"29",28,0.03
"30",29,0.02
"31",30,0.02
"32",31,0.02
"33",32,0.01
"34",33,0.01
"35",34,0.01
"36",35,0.01
"37",36,0.01
"38",37,0.01
"39",38,0.01
"40",39,0
"41",40,0
"42",41,0
"43",42,0
"44",43,0
"45",44,0
"46",45,0
"47",46,0
"48",47,0
"49",48,0
"50",49,0
"51",50,0
"52",51,0
"53",52,0
"54",53,0
"55",54,0
"56",55,0
"57",56,0
"58",57,0
"59",58,0
"60",59,0
"61",60,0
"62",61,0
"63",62,0
"64",63,0
"65",64,0
"66",65,0
"67",66,0
"68",67,0
"69",68,0
"70",69,0
"71",70,0
"72",71,0
"73",72,0
"74",73,0
"75",74,0
"76",75,0
"77",76,0
"78",77,0
"79",78,0
"80",79,0
"81",80,0
"82",81,0
"83",82,0
"84",83,0
"85",84,0
"86",85,0
"87",86,0
"88",87,0
"89",88,0
"90",89,0
"91",90,0
"92",91,0
"93",92,0
"94",93,0
"95",94,0
"96",95,0
"97",96,0
"98",97,0
"99",98,0
"100",99,0
"101",100,0
